date,time,de,le,pc,qd,fc,la,lo,cn,ff,jf,sp,su,ty
01-06-2020,630,Calea Marasesti,0.57229,15181,-,1,46.56247113207547,26.91462886792452,0.83,49.3,3.14159,23.38,23.38,TR
01-06-2020,630,DN2 Sud,7.31048,17935,+,1,46.51819714285714,26.895336734693885,0.73,70.7,0.0,77.58,77.58,TR
01-06-2020,630,Strada Chimiei,5.61133,17934,+,1,46.50628846153845,26.95387076923077,0.7,78.5,0.16615,77.0,77.0,TR
01-06-2020,630,Calea Barladului,7.03889,17933,+,1,46.555815636363626,26.967096727272722,0.98,76.0,5.62938,32.47,32.47,TR
01-06-2020,630,DJ207F,4.32473,17932,+,1,46.610688947368416,26.95649315789474,0.7,82.3,0.03169,82.0,82.0,TR
01-06-2020,630,Calea Barladului,4.32473,17933,-,1,46.61068894736841,26.956493157894737,0.7,90.0,0.09661,89.0,89.0,TR
01-06-2020,630,Strada Chimiei,7.03889,17934,-,1,46.55581563636365,26.967096727272725,0.99,76.0,3.97818,38.23,38.23,TR
01-06-2020,630,DN2 Sud,5.61133,17935,-,1,46.50628846153847,26.953870769230768,0.7,79.7,0.07637,79.0,79.0,TR
01-06-2020,630,DN11,7.38092,17936,-,1,46.519390196078426,26.894296862745094,0.7,71.8,0.09688,71.0,71.0,TR
01-06-2020,630,Strada Alexandru Cel Bun,0.02029,17954,+,3,46.56469,26.916915,0.71,37.0,2.95719,21.42,21.42,TR
01-06-2020,630,Strada Miron Costin,0.07833,17953,+,3,46.564546666666665,26.917469999999998,0.71,31.8,2.69319,18.95,18.95,TR
01-06-2020,630,Strada Florilor,0.03552,17952,+,3,46.56437,26.91822,0.7,27.0,3.22061,14.0,14.0,TR
01-06-2020,630,Strada Nufarului,0.23234,17951,+,3,46.56391300000001,26.920074999999997,0.77,43.2,2.08012,29.87,29.87,TR
01-06-2020,630,Strada Milcov,0.16656,17950,+,3,46.56327047619048,26.922634285714285,0.85,33.4,0.35993,32.02,32.02,TR
01-06-2020,630,Bulevardul Alexandru Cel Bun,0.02981,17948,+,3,46.56318,26.92286125,0.84,29.0,0.0,30.0,30.1,TR
01-06-2020,630,Strada Viorelelor,0.42867,17947,+,3,46.56163560000001,26.92334,0.79,48.8,0.95249,43.45,43.45,TR
01-06-2020,630,Strada Mircea Eliade,0.16507,17946,+,3,46.55883666666667,26.92399416666667,0.83,50.0,1.69709,40.24,40.24,TR
01-06-2020,630,Strada Stadionului,0.10902,17945,+,3,46.55719666666666,26.924108333333333,0.85,49.5,1.0401,43.58,43.58,TR
01-06-2020,630,Strada Izvoare,0.17251,17944,+,3,46.55585818181819,26.924044545454546,0.88,42.6,2.00673,29.77,29.77,TR
01-06-2020,630,Strada Alecu Russo,1.03321,17943,+,3,46.55075475409835,26.921451311475405,0.76,47.2,1.62211,38.4,38.4,TR
01-06-2020,630,DN2,0.27439,17942,+,3,46.54739000000001,26.915894444444444,0.7,35.6,2.10063,24.0,24.0,TR
01-06-2020,630,Strada Garofi\u021bei,0.12737,17941,+,3,46.547119,26.914121,0.7,37.0,2.82021,22.0,22.0,TR
01-06-2020,630,Strada Garofi\u021bei,0.0167,17941,-,3,46.54691,26.913285000000002,0.75,33.0,2.05738,22.19,22.19,TR
01-06-2020,630,DN2,0.10772,17942,-,3,46.54705,26.91436375,0.75,29.7,2.36473,18.62,18.62,TR
01-06-2020,630,Strada Alecu Russo,0.35718,17943,-,3,46.54742727272728,26.91638863636364,0.83,39.8,0.12629,39.22,39.22,TR
01-06-2020,630,Strada Izvoare,1.03099,17944,-,3,46.55195465753425,26.92222794520548,0.84,45.1,1.85431,35.48,35.48,TR
01-06-2020,630,Strada Stadionului,0.13007,17945,-,3,46.556233999999996,26.924113999999996,0.98,41.2,1.38575,31.63,31.63,TR
01-06-2020,630,Strada Mircea Eliade,0.10902,17946,-,3,46.55719666666666,26.924108333333333,0.98,49.6,2.17784,37.18,37.18,TR
01-06-2020,630,Strada Viorelelor,0.16507,17947,-,3,46.55883666666666,26.92399416666667,0.98,50.0,1.26919,42.7,42.7,TR
01-06-2020,630,Bulevardul Alexandru Cel Bun,0.49007,17948,-,3,46.56234931818182,26.923197727272726,0.98,46.1,0.58434,43.0,43.0,TR
01-06-2020,630,Strada Milcov,0.04466,17950,-,3,46.56333071428571,26.92297857142857,0.96,30.0,0.0,30.0,30.97,TR
01-06-2020,630,Strada Nufarului,0.12001,17951,-,3,46.56342375,26.922116249999995,0.79,31.8,2.42393,19.94,19.94,TR
01-06-2020,630,Strada Florilor,0.23234,17952,-,3,46.56391300000001,26.920075000000004,0.8,43.2,4.49889,19.36,19.36,TR
01-06-2020,630,Strada Miron Costin,0.0685,17953,-,3,46.56440166666666,26.91807833333333,0.79,20.0,2.43898,11.39,11.39,TR
01-06-2020,630,Strada Alexandru Cel Bun,0.06564,17954,-,3,46.564621666666675,26.917176666666666,0.78,37.7,3.14159,12.58,12.58,TR
01-06-2020,630,Strada Mioritei,0.0163,17966,+,2,46.573544999999996,26.91559,0.84,30.0,2.90699,16.97,16.97,TR
01-06-2020,630,Strada Enea Nicu,0.06674,17965,+,2,46.57340333333334,26.916125000000005,0.84,36.4,0.00795,36.37,36.37,TR
01-06-2020,630,Strada Vantului,0.08918,17964,+,2,46.57313166666666,26.91713833333333,0.86,42.9,0.41568,40.85,40.85,TR
01-06-2020,630,DN2,0.37884,17963,+,1,46.57217297872341,26.920500851063828,0.9,41.2,2.86187,24.64,24.64,TR
01-06-2020,630,DN2,0.04885,17961,+,1,46.571670000000005,26.9213625,0.96,34.0,2.72282,20.35,20.35,TR
01-06-2020,630,Strada Cronicat Neculce,0.27364,17960,+,3,46.57019722222223,26.92143277777778,0.91,46.4,2.55474,29.77,29.77,TR
01-06-2020,630,Strada Ana Ipatescu,0.11067,17959,+,3,46.56856181818182,26.921669999999995,0.87,49.5,1.23307,42.48,42.48,TR
01-06-2020,630,Strada Ecoului,0.20624,17958,+,3,46.56757384615385,26.92200538461539,0.86,50.0,0.0473,49.73,49.73,TR
01-06-2020,630,Strada Livezilor,0.15609,17957,+,3,46.5656925,26.922774999999998,0.86,50.0,0.0,50.0,52.95,TR
01-06-2020,630,Bulevardul Alexandru Cel Bun,0.22963,17956,+,3,46.56380121212122,26.923025454545453,0.82,36.6,0.0,36.8,41.96,TR
01-06-2020,630,Bulevardul Alexandru Cel Bun,0.0435,17956,-,3,46.56326384615385,26.92308692307692,0.99,30.0,0.30688,28.94,28.94,TR
01-06-2020,630,Strada Livezilor,0.18192,17957,-,3,46.56420789473684,26.923151578947365,0.98,30.7,0.0,37.17,37.17,TR
01-06-2020,630,Strada Ecoului,0.15609,17958,-,3,46.5656925,26.922775,0.98,50.0,0.69917,45.98,45.98,TR
01-06-2020,630,Strada Ana Ipatescu,0.20624,17959,-,3,46.56757384615385,26.92200538461539,0.98,50.0,1.16184,43.32,43.32,TR
01-06-2020,630,Strada Cronicat Neculce,0.11067,17960,-,3,46.56856181818182,26.921670000000002,0.98,50.0,2.03276,38.31,38.31,TR
01-06-2020,630,DN2,0.32808,17961,-,1,46.57085968750002,26.9215171875,0.98,44.9,3.07844,26.0,26.0,TR
01-06-2020,630,DN2,0.05443,17963,-,1,46.57171142857142,26.92162571428571,0.99,36.5,2.77585,21.85,21.85,TR
01-06-2020,630,Strada Vantului,0.32999,17964,-,2,46.57243258064516,26.92005612903226,0.94,43.6,1.78331,31.66,31.66,TR
01-06-2020,630,Strada Enea Nicu,0.08918,17965,-,2,46.57313166666666,26.917138333333337,0.89,41.4,3.16984,23.31,23.31,TR
01-06-2020,630,Strada Mioritei,0.08304,17966,-,2,46.57343875000001,26.915991250000005,0.9,33.5,3.56217,16.78,16.78,TR
01-06-2020,630,Strada Constantin Ene,0.03738,17991,+,3,46.56104,26.900375,0.76,50.0,0.0,50.0,63.08,TR
01-06-2020,630,Aleea Parcului,0.03333,17990,+,3,46.561305000000004,26.90012,0.76,50.0,0.0,50.0,63.63,TR
01-06-2020,630,Pasaj Rutier Oituz \u0218tefan Gusa,0.25032,17989,+,3,46.562200000000004,26.899244,0.74,36.0,0.0,36.0,37.53,TR
01-06-2020,630,Strada Mihai Eminescu,0.28761,17988,+,3,46.564399166666675,26.897031666666663,0.73,42.8,2.92167,25.42,25.42,TR
